target_id,abundance,abundance
PRQ59443,7.36196,7.36196
PRQ54470,4.0,4.0
PRQ55870,1.0,1.0
PRQ55711,4.0,4.0
PRQ60081,121.972,121.972
PRQ55579,2.0,2.0
PRQ59601,46.0,46.0
PRQ55005,1.0,1.0
PRQ56513,3.0,3.0
PRQ58571,2.0,2.0
PRQ59566,8.0,8.0
PRQ57241,1.0,1.0
PRQ58936,6.0,6.0
PRQ54592,1.0,1.0
PRQ55973,9.0,9.0
PRQ55134,6.0,6.0
PRQ55324,1.0,1.0
PRQ55864,18.0,18.0
PRQ56062,8.0,8.0
PRQ59216,29.0,29.0
PRQ59206,3.0,3.0
PRQ55549,55.0,55.0
PRQ56476,2.0,2.0
PRQ59668,24.0,24.0
PRQ58338,2.0,2.0
PRQ54785,2.0,2.0
PRQ54405,4.0,4.0
PRQ57328,1.0,1.0
PRQ57179,3.0,3.0
PRQ56365,1.0,1.0
PRQ54614,6.12061,6.12061
PRQ59038,1.0,1.0
PRQ59710,9.0,9.0
PRQ56433,5.0,5.0
PRQ59633,22.0,22.0
PRQ59637,21.0,21.0
PRQ56080,55.0,55.0
PRQ55903,15.0,15.0
PRQ60301,55.0,55.0
PRQ55275,9.08575,9.08575
PRQ59451,2.43614,2.43614
PRQ54401,11.0,11.0
PRQ58525,2.0,2.0
PRQ60140,3.0,3.0
PRQ59888,3.0,3.0
PRQ58306,132.0,132.0
PRQ56418,2.0,2.0
PRQ54549,2.0,2.0
PRQ55200,6.0,6.0
PRQ59338,8.0,8.0
PRQ58798,1.0,1.0
PRQ54888,1.0,1.0
PRQ54951,1.0,1.0
PRQ56779,24.0,24.0
PRQ54859,14.0,14.0
PRQ55721,1.19212,1.19212
PRQ55298,1.0,1.0
PRQ59557,23.0,23.0
PRQ56804,6.0,6.0
PRQ58483,1.0,1.0
PRQ56572,2.7075,2.7075
PRQ59243,20.0,20.0
PRQ59689,5.0,5.0
PRQ59444,2.0,2.0
PRQ60539,46.0,46.0
PRQ60064,9.0,9.0
PRQ55865,4.0,4.0
PRQ57553,10.8797,10.8797
PRQ57245,6.0,6.0
PRQ57083,7.0,7.0
PRQ59866,5.0,5.0
PRQ60204,58.0,58.0
PRQ58057,1.0,1.0
PRQ60138,22.0,22.0
PRQ59104,5.0,5.0
PRQ57269,11.0,11.0
PRQ58929,1.0,1.0
PRQ60745,106.0,106.0
PRQ60060,18.0,18.0
PRQ59988,10.0,10.0
PRQ59524,13.0,13.0
PRQ56658,23.4576,23.4576
PRQ58921,2.0,2.0
PRQ58931,51.0,51.0
PRQ59496,2.0,2.0
PRQ59267,1.0,1.0
PRQ60667,2.0,2.0
PRQ55376,17.0,17.0
PRQ58287,1.0,1.0
PRQ60529,3.0,3.0
PRQ58508,2.0,2.0
PRQ59897,6.0,6.0
PRQ56759,1.0,1.0
PRQ59873,56.0,56.0
PRQ60467,2.0,2.0
PRQ55938,56.0,56.0
PRQ54740,21.0,21.0
PRQ56682,6.0,6.0
PRQ60325,1.0,1.0
PRQ54411,6.0,6.0
PRQ60288,1.0,1.0
PRQ57378,40.0,40.0
PRQ60065,94.0,94.0
PRQ60524,3.0,3.0
PRQ55150,8.0,8.0
PRQ59526,37.0,37.0
PRQ60200,57.0,57.0
PRQ54996,5.64376,5.64376
PRQ59160,3.0,3.0
PRQ58802,38.0,38.0
PRQ56361,6.0,6.0
PRQ60354,34.0,34.0
PRQ60744,3.0,3.0
PRQ59265,6.0,6.0
PRQ58247,21.0,21.0
PRQ59285,62.0,62.0
PRQ57838,1.0,1.0
PRQ56634,3.0,3.0
PRQ57104,17.5548,17.5548
PRQ59385,4.0,4.0
PRQ58741,16.0,16.0
PRQ55727,7.0,7.0
PRQ60718,26.0,26.0
PRQ55753,58.0,58.0
PRQ54931,2.0,2.0
PRQ57257,8.0,8.0
PRQ58017,5.0,5.0
PRQ59892,37.0,37.0
PRQ60704,2.0,2.0
PRQ59077,22.0,22.0
PRQ56253,1.0,1.0
PRQ58153,5.0,5.0
PRQ57407,2.0,2.0
PRQ59901,5.0,5.0
PRQ59378,29.0,29.0
PRQ59380,9.0,9.0
PRQ55409,1.0,1.0
PRQ58701,41.0,41.0
PRQ56390,11.0,11.0
PRQ54826,1.0,1.0
PRQ54854,10.0,10.0
PRQ58754,5.0,5.0
PRQ60491,13.0,13.0
PRQ55931,38.0,38.0
PRQ56493,5.0,5.0
PRQ56111,6.0,6.0
PRQ55785,3.0,3.0
PRQ59616,7.0,7.0
PRQ59781,1.0,1.0
PRQ56694,1.0,1.0
PRQ58430,5.0,5.0
PRQ56197,5.0,5.0
PRQ60482,16.0,16.0
PRQ55293,6.9076,6.9076
PRQ59887,1.0,1.0
PRQ60504,17.0,17.0
PRQ56545,2.0,2.0
PRQ60075,27.0,27.0
PRQ56745,5.03966,5.03966
PRQ56456,5.0,5.0
PRQ59952,31.0,31.0
PRQ54940,1.0,1.0
PRQ59880,40.0,40.0
PRQ60564,10.0,10.0
PRQ60367,9.0,9.0
PRQ60133,3.0,3.0
PRQ60572,58.0,58.0
PRQ60128,33.0,33.0
PRQ59735,60.0,60.0
PRQ55366,17.0,17.0
PRQ57359,5.0,5.0
PRQ55379,1.0,1.0
PRQ60196,3.0,3.0
PRQ59514,4.0,4.0
PRQ60680,38.0,38.0
PRQ60227,38.0,38.0
PRQ59635,4.0,4.0
PRQ60627,39.0,39.0
PRQ55119,2.0,2.0
PRQ56707,1.0,1.0
PRQ58464,1.0,1.0
PRQ56470,12.0,12.0
PRQ58237,5.0,5.0
PRQ60352,1.0,1.0
PRQ56609,1.0,1.0
PRQ58176,7.0,7.0
PRQ55197,2.0,2.0
PRQ59214,9.0,9.0
PRQ59533,7.0,7.0
PRQ56747,4.0,4.0
PRQ57519,1.0,1.0
PRQ59889,13.0,13.0
PRQ59589,27.0,27.0
PRQ54791,1.0,1.0
PRQ56053,20.0,20.0
PRQ54535,4.0,4.0
PRQ60032,51.0,51.0
PRQ59799,1.0,1.0
PRQ56081,59.0,59.0
PRQ59169,91.0,91.0
PRQ55767,20.0,20.0
PRQ55811,5.0,5.0
PRQ58572,13.0,13.0
PRQ59768,1.0,1.0
PRQ55527,4.0,4.0
PRQ56063,20.0,20.0
PRQ59047,26.0,26.0
PRQ59882,19.0,19.0
PRQ55976,4.0,4.0
PRQ58541,14.0,14.0
PRQ57645,71.0,71.0
PRQ59925,1.0,1.0
PRQ59422,29.0,29.0
PRQ55883,1.0,1.0
PRQ58291,1.0,1.0
PRQ56148,35.0,35.0
PRQ58854,16.0,16.0
PRQ58284,29.0,29.0
PRQ59623,7.0,7.0
PRQ60738,1.0,1.0
PRQ58177,2.0,2.0
PRQ54666,1.0,1.0
PRQ58766,11.0,11.0
PRQ59504,19.0,19.0
PRQ60055,2.0,2.0
PRQ57060,3.0,3.0
PRQ58441,63.0,63.0
PRQ60338,20.0,20.0
PRQ57986,1.0,1.0
PRQ55364,1.0,1.0
PRQ59035,73.0,73.0
PRQ58995,4.0,4.0
PRQ57398,42.0,42.0
PRQ57965,3.0,3.0
PRQ56799,23.0,23.0
PRQ60634,16.0,16.0
PRQ60584,1.0,1.0
PRQ59603,4.0,4.0
PRQ60092,13.0,13.0
PRQ58783,34.0,34.0
PRQ60225,10.0,10.0
PRQ58668,15.0,15.0
