target_id,abundance
BGIOSGA002896-TA,12.0
BGIOSGA033727-TA,21.0
BGIOSGA011046-TA,0.746326
BGIOSGA013005-TA,4.41836
BGIOSGA013566-TA,45.0
BGIOSGA007215-TA,61.0
BGIOSGA023300-TA,10.0
BGIOSGA004756-TA,9.0
BGIOSGA035831-TA,135.0
BGIOSGA030921-TA,3.0
BGIOSGA003768-TA,86.0
BGIOSGA023713-TA,51.0
BGIOSGA020263-TA,130.0
BGIOSGA016114-TA,34.0
BGIOSGA035641-TA,243.0
BGIOSGA030202-TA,5.0
BGIOSGA023858-TA,119.0
BGIOSGA002961-TA,9.0
BGIOSGA002410-TA,35.0
BGIOSGA016610-TA,22.0
BGIOSGA025172-TA,349.0
BGIOSGA029041-TA,3.0
BGIOSGA007400-TA,61.0
BGIOSGA008898-TA,133.0
BGIOSGA037059-TA,32.0
BGIOSGA026019-TA,1.0
BGIOSGA009569-TA,17.0
BGIOSGA036599-TA,3.0
BGIOSGA000111-TA,22.0
BGIOSGA023589-TA,3.0
BGIOSGA000216-TA,2.0
BGIOSGA012790-TA,54.0
BGIOSGA011066-TA,105.0
BGIOSGA014274-TA,63.113
BGIOSGA001320-TA,4.0
BGIOSGA007130-TA,22.0
BGIOSGA018909-TA,19.0
BGIOSGA021924-TA,118.884
BGIOSGA019255-TA,8.0
BGIOSGA026732-TA,314.0
BGIOSGA005375-TA,339.0
BGIOSGA017670-TA,7.0
BGIOSGA000759-TA,5.0
BGIOSGA030777-TA,464.0
BGIOSGA029218-TA,181.114
BGIOSGA029977-TA,4.0
BGIOSGA009273-TA,202.0
BGIOSGA033356-TA,417.0
BGIOSGA017406-TA,3.0
BGIOSGA021195-TA,3.0
BGIOSGA021526-TA,90.0
BGIOSGA018290-TA,1.0
BGIOSGA016900-TA,6.0
BGIOSGA006646-TA,5.0
BGIOSGA029772-TA,141.0
BGIOSGA029310-TA,15.0
BGIOSGA035785-TA,59.0
BGIOSGA031077-TA,149.0
BGIOSGA006529-TA,2.0
BGIOSGA009653-TA,14.5062
BGIOSGA023602-TA,24.0
BGIOSGA010124-TA,10.0
BGIOSGA014273-TA,7.14094
BGIOSGA001222-TA,1.0
BGIOSGA033680-TA,2.0
BGIOSGA012002-TA,18.0
BGIOSGA030467-TA,7.0
BGIOSGA018273-TA,2.0
BGIOSGA033298-TA,320.0
BGIOSGA028276-TA,6.0
BGIOSGA037837-TA,2.0
BGIOSGA016787-TA,15.0
BGIOSGA022935-TA,10.0
BGIOSGA031521-TA,90.0
BGIOSGA009473-TA,2.0
BGIOSGA022233-TA,20.0
BGIOSGA026507-TA,22.6557
BGIOSGA035467-TA,7.7681
BGIOSGA009672-TA,9.56141
BGIOSGA035907-TA,154.0
BGIOSGA036001-TA,3.35292
BGIOSGA011386-TA,12.0
BGIOSGA007723-TA,159.0
BGIOSGA024066-TA,71.0
BGIOSGA012836-TA,1101.81
BGIOSGA034650-TA,14.0
BGIOSGA010969-TA,67.0
BGIOSGA036714-TA,44.0
BGIOSGA022559-TA,15.0
BGIOSGA020781-TA,6.0
BGIOSGA010785-TA,30.0
BGIOSGA022197-TA,14.0
BGIOSGA022041-TA,3.0
BGIOSGA022423-TA,39.0
BGIOSGA007051-TA,15.0
BGIOSGA029533-TA,1531.0
BGIOSGA035578-TA,54.0
BGIOSGA021574-TA,180.0
BGIOSGA001108-TA,46.0
BGIOSGA007824-TA,13.0
BGIOSGA025755-TA,8.0
BGIOSGA007100-TA,3.0
BGIOSGA017981-TA,18.0
BGIOSGA036883-TA,56.1581
BGIOSGA022536-TA,21.0
BGIOSGA012134-TA,73.0
BGIOSGA004895-TA,19.1163
BGIOSGA023554-TA,2.0
BGIOSGA011034-TA,254.0
BGIOSGA013758-TA,48.0
BGIOSGA021372-TA,9.0
BGIOSGA007370-TA,75.2121
BGIOSGA027456-TA,63.0
BGIOSGA003086-TA,12.1881
BGIOSGA003802-TA,19.0
BGIOSGA012208-TA,115.0
BGIOSGA003264-TA,98.0
BGIOSGA035842-TA,198.0
BGIOSGA001020-TA,28.0
BGIOSGA015693-TA,2.0
BGIOSGA004270-TA,3.0
BGIOSGA031213-TA,1.0
BGIOSGA023146-TA,101.0
BGIOSGA031494-TA,177.0
BGIOSGA015972-TA,139.0
BGIOSGA001749-TA,35.0
BGIOSGA014405-TA,1.0
BGIOSGA029651-TA,76.0
BGIOSGA027049-TA,17.0
BGIOSGA002523-TA,1.0
BGIOSGA017714-TA,30.0
BGIOSGA036535-TA,1.0
BGIOSGA017225-TA,152.0
BGIOSGA005369-TA,40.0
BGIOSGA006276-TA,484.0
BGIOSGA014245-TA,7.0
BGIOSGA026345-TA,10.0
BGIOSGA004933-TA,43.0
BGIOSGA025386-TA,55.0
BGIOSGA022580-TA,5.0
BGIOSGA015943-TA,43.0
BGIOSGA033623-TA,2.0
BGIOSGA022680-TA,28.0
BGIOSGA030307-TA,6.0
BGIOSGA014504-TA,141.0
BGIOSGA009948-TA,52.0
BGIOSGA013436-TA,18.0
BGIOSGA036804-TA,142.704
BGIOSGA033134-TA,234.449
BGIOSGA023560-TA,132.0
BGIOSGA037873-TA,1.0
BGIOSGA035376-TA,110.0
BGIOSGA001269-TA,160.816
BGIOSGA037790-TA,25.0
BGIOSGA004448-TA,74.0
BGIOSGA008404-TA,14.0
BGIOSGA036576-TA,143.0
BGIOSGA003683-TA,16.3319
BGIOSGA006977-TA,2.0
BGIOSGA030236-TA,1.0
BGIOSGA008206-TA,123.0
BGIOSGA023043-TA,85.0
BGIOSGA011626-TA,138.0
BGIOSGA027546-TA,1.0
BGIOSGA020087-TA,32.0
BGIOSGA012144-TA,12.0
BGIOSGA029456-TA,21.0
BGIOSGA018883-TA,1.0
BGIOSGA006431-TA,40.0
BGIOSGA014561-TA,221.0
BGIOSGA008795-TA,76.0
BGIOSGA011837-TA,59.0
BGIOSGA023884-TA,24.0
BGIOSGA010897-TA,7.0
BGIOSGA035283-TA,2.0
BGIOSGA032377-TA,1192.0
BGIOSGA002819-TA,43.0
BGIOSGA003862-TA,269.0
BGIOSGA004494-TA,32.0
BGIOSGA023156-TA,1.0
BGIOSGA014475-TA,72.0
BGIOSGA012742-TA,39.0
BGIOSGA003291-TA,16.494
BGIOSGA000495-TA,25.0
BGIOSGA034801-TA,2.0
BGIOSGA016311-TA,54.0
BGIOSGA025538-TA,83.0
BGIOSGA008050-TA,18.0
BGIOSGA032999-TA,2.0
BGIOSGA010596-TA,113.0
BGIOSGA009432-TA,5.0
BGIOSGA025641-TA,59.0
BGIOSGA008815-TA,68.0
BGIOSGA028118-TA,1.0
BGIOSGA012235-TA,46.0
BGIOSGA011245-TA,41.0
BGIOSGA014886-TA,2131.0
BGIOSGA025064-TA,3.0
BGIOSGA025958-TA,30.0
BGIOSGA011057-TA,13.0
BGIOSGA007249-TA,4.0
BGIOSGA014394-TA,172.0
BGIOSGA009515-TA,24.0425
BGIOSGA032130-TA,14.0
BGIOSGA015616-TA,5.0
BGIOSGA025213-TA,120.0
BGIOSGA033560-TA,40.0
BGIOSGA034091-TA,177.0
BGIOSGA025928-TA,3.0
BGIOSGA027774-TA,62.0
BGIOSGA026768-TA,1.0
BGIOSGA001007-TA,3.0
BGIOSGA026334-TA,8.0
BGIOSGA005196-TA,235.0
BGIOSGA013067-TA,45.0
BGIOSGA014157-TA,9.0
BGIOSGA014528-TA,252.0
BGIOSGA019166-TA,18.0
BGIOSGA005573-TA,15.0
BGIOSGA017911-TA,116.0
BGIOSGA024372-TA,12.0
BGIOSGA036074-TA,54.0
BGIOSGA006957-TA,119.0
BGIOSGA003104-TA,95.0
BGIOSGA025604-TA,40.0
BGIOSGA014973-TA,102.554
BGIOSGA024184-TA,31.0
BGIOSGA028057-TA,20.1612
BGIOSGA008840-TA,100.0
